State,County,Case_or_TaxDeed_No,Owner_Name,Entity_Type,Is_Individual,Heir_Search_Recommended,Property_Address,Property_Type,Surplus_Balance_USD,Statutory_Fee_Rate,Est_Finder_Fee_USD,Opportunity_Tier,Sale_Date,Days_Remaining_To_Claim,Claim_Urgency_Tier,Statutory_Deadline_Window,Clerk_Verification_URL,Governing_Statute,Enriched_Timestamp
FL,Orange,2024-TD-001955,JAMES & LINDA CHEN,Individual / Estate,True,False,8431 BAY BREEZE WAY ORLANDO FL 32836,Single Family Residential,74300.0,20%,14860.0,Tier 1: High Value ($25k+),2024-08-08,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.myorangeclerk.com/,Fla. Stat. § 197.582,2026-09-15 12:58:48
FL,Palm Beach,2024-TD-004688,ESTATE OF ARTHUR STERLING,Estate / Deceased,True,True,1410 N FEDERAL HWY LAKE WORTH FL 33460,Single Family Residential,68900.0,20%,13780.0,Tier 1: High Value ($25k+),2024-07-14,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.mypalmbeachclerk.com/,Fla. Stat. § 197.582,2026-09-15 12:58:48
GA,Gwinnett,2024-GA-001920,VICTORIA STRICKLAND,Individual / Estate,True,False,4510 LAWRENCEVILLE HWY LILBURN GA 30047,Single Family Residential,67800.0,20%,13560.0,Tier 1: High Value ($25k+),2024-07-23,1041,Tier 3: Active Claim Window (> 120 Days),5 Years from Sale (O.C.G.A. § 48-4-5),https://www.gwinnetttaxcommissioner.com/,O.C.G.A. § 48-4-5,2026-09-15 12:58:48
FL,Orange,2024-TD-001501,ESTATE OF ELEANOR VANCE,Estate / Deceased,True,True,3309 ROSEWOOD CT WINTER PARK FL 32792,Single Family Residential,61800.0,20%,12360.0,Tier 1: High Value ($25k+),2024-07-03,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.myorangeclerk.com/,Fla. Stat. § 197.582,2026-09-15 12:58:48
TX,Dallas,2024-TX-01928,GEORGE & DOROTHY WASHINGTON,Individual / Estate,True,False,3819 COLONIAL AVE DALLAS TX 75215,Single Family Residential,59400.0,25%,14850.0,Tier 1: High Value ($25k+),2024-07-23,0,Expired / Time-Barred,2 Years from Sale (Tex. Tax Code § 34.04),https://www.dallascounty.org/,Tex. Tax Code § 34.04,2026-09-15 12:58:48
FL,Hillsborough,2024-TD-009041,ESTATE OF HENRY PATTERSON,Estate / Deceased,True,True,11804 N 56TH ST TEMPLE TERRACE FL 33617,Single Family Residential,54100.0,20%,10820.0,Tier 1: High Value ($25k+),2024-08-02,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.hillsclerk.com/,Fla. Stat. § 197.582,2026-09-15 12:58:48
FL,Orange,2024-TD-001248,RICHARD HAWKINS,Individual / Estate,True,False,1420 PINEWOOD DR ORLANDO FL 32808,Single Family Residential,48250.0,20%,9650.0,Tier 1: High Value ($25k+),2024-06-12,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.myorangeclerk.com/,Fla. Stat. § 197.582,2026-09-15 12:58:48
FL,Miami-Dade,2024-TD-004990,EUGENE FITZPATRICK,Individual / Estate,True,False,1920 CORAL WAY MIAMI FL 33145,Single Family Residential,43500.0,20%,8700.0,Tier 1: High Value ($25k+),2024-08-12,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.miamidadeclerk.gov/,Fla. Stat. § 197.582,2026-09-15 12:58:48
TX,Harris,2024-TX-05110,RAFAEL GUERRERO,Individual / Estate,True,False,7120 NAVIGATION BLVD HOUSTON TX 77011,Single Family Residential,41300.0,25%,10325.0,Tier 1: High Value ($25k+),2024-08-06,0,Expired / Time-Barred,2 Years from Sale (Tex. Tax Code § 34.04),https://www.hcdistrictclerk.com/,Tex. Tax Code § 34.04,2026-09-15 12:58:48
FL,Hillsborough,2024-TD-009188,DANIELLE KAUFMAN,Individual / Estate,True,False,2308 S ARMENIA AVE TAMPA FL 33629,Single Family Residential,31750.0,20%,6350.0,Tier 1: High Value ($25k+),2024-08-10,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.hillsclerk.com/,Fla. Stat. § 197.582,2026-09-15 12:58:48
FL,Orange,2024-TD-001622,MARCOS & SOFIA ALVAREZ,Individual / Estate,True,False,510 LAKE BREEZE DR APOPKA FL 32703,Single Family Residential,29400.0,20%,5880.0,Tier 1: High Value ($25k+),2024-07-17,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.myorangeclerk.com/,Fla. Stat. § 197.582,2026-09-15 12:58:48
FL,Orange,2024-TD-001844,BEATRICE MONTGOMERY,Individual / Estate,True,False,220 W KALEY ST ORLANDO FL 32806,Single Family Residential,18900.0,20%,3780.0,Tier 2: Medium Value ($10k-$25k),2024-08-01,0,Expired / Time-Barred,120 Days from Notice (Fla. Stat. § 197.582),https://www.myorangeclerk.com/,Fla. Stat. § 197.582,2026-09-15 12:58:48
