Timestamp,Email,Name,Firm,State,Subject,Status,Mode,Output_File
2026-08-22T08:16:29.983539,contact@sunshinestatetitlerecoverygroup.com,Robert Thorne,Sunshine State Title Recovery Group,FL,Verified Florida surplus leads for Sunshine State Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_sunshinestatetitlerecoverygroup.com.txt
2026-08-22T08:16:29.983621,contact@jacksonvillesurplusfundattorneys.com,Michael Chang,Jacksonville Surplus Fund Attorneys,FL,Verified Florida surplus leads for Jacksonville Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_jacksonvillesurplusfundattorneys.com.txt
2026-08-22T08:16:29.983831,contact@kingsleyassetrecoverylaw.com,Laura Kingsley,Kingsley Asset Recovery Law,FL,Verified Florida surplus leads for Kingsley Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_kingsleyassetrecoverylaw.com.txt
2026-08-22T08:16:29.983946,contact@dallassurplusfundattorneys.com,Anthony Garza,Dallas Surplus Fund Attorneys,TX,Verified Texas surplus leads for Dallas Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_dallassurplusfundattorneys.com.txt
2026-08-22T08:16:29.984040,contact@bennettassociatespc.com,Patricia Bennett,"Bennett & Associates, P.C.",TX,"Verified Texas surplus leads for Bennett & Associates, P.C. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_bennettassociatespc.com.txt
2026-08-22T08:16:29.984133,contact@lonestartitlerecoverygroup.com,Samuel Holloway,Lone Star Title Recovery Group,TX,Verified Texas surplus leads for Lone Star Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_lonestartitlerecoverygroup.com.txt
2026-08-22T08:16:29.984223,contact@navarroassetrecoverylaw.com,Victor Navarro,Navarro Asset Recovery Law,TX,Verified Texas surplus leads for Navarro Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_navarroassetrecoverylaw.com.txt
2026-08-22T08:16:29.984317,contact@austinsurplusfundattorneys.com,Karen Whitmore,Austin Surplus Fund Attorneys,TX,Verified Texas surplus leads for Austin Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_austinsurplusfundattorneys.com.txt
2026-08-22T08:16:29.984396,contact@palmbeachsurplusfundattorneys.com,Thomas Alvarez,Palm Beach Surplus Fund Attorneys,FL,Verified Florida surplus leads for Palm Beach Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_palmbeachsurplusfundattorneys.com.txt
2026-08-22T08:16:29.984474,contact@rossassociatespa.com,Stephanie Ross,"Ross & Associates, P.A.",FL,"Verified Florida surplus leads for Ross & Associates, P.A. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_rossassociatespa.com.txt
2026-08-22T08:16:29.984551,contact@mercerassetrecoverylaw.com,Derek Mercer,Mercer Asset Recovery Law,FL,Verified Florida surplus leads for Mercer Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_mercerassetrecoverylaw.com.txt
2026-08-22T08:16:29.984631,contact@gulfcoasttitlerecoverygroup.com,Christine Palmer,Gulf Coast Title Recovery Group,FL,Verified Florida surplus leads for Gulf Coast Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_gulfcoasttitlerecoverygroup.com.txt
2026-08-22T08:16:29.984719,contact@fortworthsurplusfundattorneys.com,William Faulkner,Fort Worth Surplus Fund Attorneys,TX,Verified Texas surplus leads for Fort Worth Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_fortworthsurplusfundattorneys.com.txt
2026-08-22T08:16:29.984798,contact@thorntonassociatespc.com,Rebecca Thornton,"Thornton & Associates, P.C.",TX,"Verified Texas surplus leads for Thornton & Associates, P.C. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_thorntonassociatespc.com.txt
2026-08-22T08:16:29.984876,contact@alamotitlerecoverygroup.com,Jonathan Pierce,Alamo Title Recovery Group,TX,Verified Texas surplus leads for Alamo Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_alamotitlerecoverygroup.com.txt
2026-08-22T08:16:29.984959,contact@davenportassetrecoverylaw.com,Eric Davenport,Davenport Asset Recovery Law,TX,Verified Texas surplus leads for Davenport Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_davenportassetrecoverylaw.com.txt
2026-08-22T08:16:29.985047,contact@browardsurplusfundattorneys.com,Brenda Kowalski,Broward Surplus Fund Attorneys,FL,Verified Florida surplus leads for Broward Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_browardsurplusfundattorneys.com.txt
2026-08-22T08:16:29.985127,contact@sinclairassociatespa.com,James Sinclair,"Sinclair & Associates, P.A.",FL,"Verified Florida surplus leads for Sinclair & Associates, P.A. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_sinclairassociatespa.com.txt
2026-08-22T08:16:40.755696,contact@vanceassetrecoverylaw.com,Marcus Vance,Vance Asset Recovery Law,FL,Re: Florida surplus leads for Vance Asset Recovery Law (Case 2024-TD-004812 update),GENERATED (DRY_RUN),dry-run,contact_vanceassetrecoverylaw.com.txt
2026-08-22T08:16:40.755858,contact@tampasurplusfundattorneys.com,Sarah Jenkins,Tampa Surplus Fund Attorneys,FL,Re: Florida surplus leads for Tampa Surplus Fund Attorneys (Case 2024-TD-004812 update),GENERATED (DRY_RUN),dry-run,contact_tampasurplusfundattorneys.com.txt
2026-08-22T08:16:42.984421,contact@vanceassetrecoverylaw.com,Marcus Vance,Vance Asset Recovery Law,FL,Verified Florida surplus leads for Vance Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_vanceassetrecoverylaw.com.txt
2026-08-22T08:16:42.984557,contact@tampasurplusfundattorneys.com,Sarah Jenkins,Tampa Surplus Fund Attorneys,FL,Verified Florida surplus leads for Tampa Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_tampasurplusfundattorneys.com.txt
2026-08-22T08:16:42.984774,contact@mendezassociatespa.com,Carlos Mendez,"Mendez & Associates, P.A.",FL,"Verified Florida surplus leads for Mendez & Associates, P.A. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_mendezassociatespa.com.txt
2026-08-22T08:16:42.984901,contact@floridatitlerecoverygroup.com,Arthur Pendelton,Florida Title Recovery Group,FL,Verified Florida surplus leads for Florida Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_floridatitlerecoverygroup.com.txt
2026-08-22T08:16:42.985007,contact@miamisurplusfundattorneys.com,Elena Rostova,Miami Surplus Fund Attorneys,FL,Verified Florida surplus leads for Miami Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_miamisurplusfundattorneys.com.txt
2026-08-22T08:16:42.985109,contact@sterlingassetrecoverylaw.com,Brian Sterling,Sterling Asset Recovery Law,TX,Verified Texas surplus leads for Sterling Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_sterlingassetrecoverylaw.com.txt
2026-08-22T08:16:42.985205,contact@houstonsurplusfundattorneys.com,Rachel Harris,Houston Surplus Fund Attorneys,TX,Verified Texas surplus leads for Houston Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_houstonsurplusfundattorneys.com.txt
2026-08-22T08:16:42.985306,contact@callahanassociatespc.com,David Callahan,"Callahan & Associates, P.C.",TX,"Verified Texas surplus leads for Callahan & Associates, P.C. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_callahanassociatespc.com.txt
2026-08-22T08:16:42.985402,contact@texastitlerecoverygroup.com,Nathan Brooks,Texas Title Recovery Group,TX,Verified Texas surplus leads for Texas Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_texastitlerecoverygroup.com.txt
2026-08-22T08:16:42.985488,contact@moralesassetrecoverylaw.com,Jessica Morales,Morales Asset Recovery Law,FL,Verified Florida surplus leads for Morales Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_moralesassetrecoverylaw.com.txt
2026-08-22T08:16:42.985575,contact@orlandosurplusfundattorneys.com,Gregory Holt,Orlando Surplus Fund Attorneys,FL,Verified Florida surplus leads for Orlando Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_orlandosurplusfundattorneys.com.txt
2026-08-22T08:16:42.985663,contact@walshassociatespa.com,Danielle Walsh,"Walsh & Associates, P.A.",FL,"Verified Florida surplus leads for Walsh & Associates, P.A. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_walshassociatespa.com.txt
2026-08-22T08:16:42.985751,contact@sunshinestatetitlerecoverygroup.com,Robert Thorne,Sunshine State Title Recovery Group,FL,Verified Florida surplus leads for Sunshine State Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_sunshinestatetitlerecoverygroup.com.txt
2026-08-22T08:16:42.985833,contact@jacksonvillesurplusfundattorneys.com,Michael Chang,Jacksonville Surplus Fund Attorneys,FL,Verified Florida surplus leads for Jacksonville Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_jacksonvillesurplusfundattorneys.com.txt
2026-08-22T08:16:42.985939,contact@kingsleyassetrecoverylaw.com,Laura Kingsley,Kingsley Asset Recovery Law,FL,Verified Florida surplus leads for Kingsley Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_kingsleyassetrecoverylaw.com.txt
2026-08-22T08:16:42.986032,contact@dallassurplusfundattorneys.com,Anthony Garza,Dallas Surplus Fund Attorneys,TX,Verified Texas surplus leads for Dallas Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_dallassurplusfundattorneys.com.txt
2026-08-22T08:16:42.986112,contact@bennettassociatespc.com,Patricia Bennett,"Bennett & Associates, P.C.",TX,"Verified Texas surplus leads for Bennett & Associates, P.C. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_bennettassociatespc.com.txt
2026-08-22T08:16:42.986204,contact@lonestartitlerecoverygroup.com,Samuel Holloway,Lone Star Title Recovery Group,TX,Verified Texas surplus leads for Lone Star Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_lonestartitlerecoverygroup.com.txt
2026-08-22T08:16:42.986287,contact@navarroassetrecoverylaw.com,Victor Navarro,Navarro Asset Recovery Law,TX,Verified Texas surplus leads for Navarro Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_navarroassetrecoverylaw.com.txt
2026-08-22T08:16:42.986368,contact@austinsurplusfundattorneys.com,Karen Whitmore,Austin Surplus Fund Attorneys,TX,Verified Texas surplus leads for Austin Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_austinsurplusfundattorneys.com.txt
2026-08-22T08:16:42.986449,contact@palmbeachsurplusfundattorneys.com,Thomas Alvarez,Palm Beach Surplus Fund Attorneys,FL,Verified Florida surplus leads for Palm Beach Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_palmbeachsurplusfundattorneys.com.txt
2026-08-22T08:16:42.986531,contact@rossassociatespa.com,Stephanie Ross,"Ross & Associates, P.A.",FL,"Verified Florida surplus leads for Ross & Associates, P.A. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_rossassociatespa.com.txt
2026-08-22T08:16:42.986610,contact@mercerassetrecoverylaw.com,Derek Mercer,Mercer Asset Recovery Law,FL,Verified Florida surplus leads for Mercer Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_mercerassetrecoverylaw.com.txt
2026-08-22T08:16:42.986696,contact@gulfcoasttitlerecoverygroup.com,Christine Palmer,Gulf Coast Title Recovery Group,FL,Verified Florida surplus leads for Gulf Coast Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_gulfcoasttitlerecoverygroup.com.txt
2026-08-22T08:16:42.986782,contact@fortworthsurplusfundattorneys.com,William Faulkner,Fort Worth Surplus Fund Attorneys,TX,Verified Texas surplus leads for Fort Worth Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_fortworthsurplusfundattorneys.com.txt
2026-08-22T08:16:42.986861,contact@thorntonassociatespc.com,Rebecca Thornton,"Thornton & Associates, P.C.",TX,"Verified Texas surplus leads for Thornton & Associates, P.C. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_thorntonassociatespc.com.txt
2026-08-22T08:16:42.987002,contact@alamotitlerecoverygroup.com,Jonathan Pierce,Alamo Title Recovery Group,TX,Verified Texas surplus leads for Alamo Title Recovery Group (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_alamotitlerecoverygroup.com.txt
2026-08-22T08:16:42.987304,contact@davenportassetrecoverylaw.com,Eric Davenport,Davenport Asset Recovery Law,TX,Verified Texas surplus leads for Davenport Asset Recovery Law (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_davenportassetrecoverylaw.com.txt
2026-08-22T08:16:42.987401,contact@browardsurplusfundattorneys.com,Brenda Kowalski,Broward Surplus Fund Attorneys,FL,Verified Florida surplus leads for Broward Surplus Fund Attorneys (e.g. Case 2024-TD-004501),GENERATED (DRY_RUN),dry-run,contact_browardsurplusfundattorneys.com.txt
2026-08-22T08:16:42.987590,contact@sinclairassociatespa.com,James Sinclair,"Sinclair & Associates, P.A.",FL,"Verified Florida surplus leads for Sinclair & Associates, P.A. (e.g. Case 2024-TD-004501)",GENERATED (DRY_RUN),dry-run,contact_sinclairassociatespa.com.txt
